ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,RNA_Avg_fold,RNA_Covered_bases,RNA_Covered_percent,RNA_Read_GC,Origin
0,67.27,2569827,0.6429,100,2569827,496816,496633,0.6363,0.0322,17423,0.006779834,0.5309,Delftia
1,161.681,2397060,0.3789,100,2397060,1679500,1679816,0.3953,67.5682,787320,0.328452354,0.4916,Caenorhabditis
2,169.0346,2092960,0.3809,100,2092960,1475741,1475552,0.3961,172.4903,694208,0.33168718,0.5029,Caenorhabditis
3,218.2907,1941291,0.3731,100,1941291,1683197,1682884,0.3873,559.6532,848129,0.436889163,0.4799,Caenorhabditis
4,217.9184,1240267,0.3848,100,1240267,1140459,1139550,0.3991,277.0392,531468,0.428510958,0.4856,Caenorhabditis
5,167.6629,1155848,0.3811,99.9999,1155847,761946,761631,0.3984,45.6791,301066,0.260471965,0.4895,Caenorhabditis
6,357.3788,1268005,0.3875,99.9996,1268000,854253,853730,0.4098,83.6307,280299,0.221055122,0.4964,Caenorhabditis
7,217.2534,991799,0.381,100,991799,917610,916582,0.3965,211.1268,544782,0.5492867,0.4757,Caenorhabditis
8,208.538,976832,0.376,100,976832,862935,862687,0.3906,175.8613,437876,0.448261318,0.4762,Caenorhabditis
9,108.5552,882984,0.676,99.9994,882979,278558,278408,0.6744,0.0905,2582,0.002924175,0.5536,Curtobacterium
10,243.6056,964403,0.3823,99.9999,964402,886060,886897,0.3966,194.1176,418610,0.434061279,0.4711,Caenorhabditis
11,187.1726,953884,0.3758,100,953884,713460,713550,0.3904,102.4737,288554,0.302504288,0.4917,Caenorhabditis
12,206.8624,896276,0.3751,100,896276,791067,790824,0.3903,249.4192,408469,0.455740196,0.4814,Caenorhabditis
13,160.07,864604,0.3795,99.9999,864603,581026,581051,0.3966,59.106,221950,0.256707117,0.5038,Caenorhabditis
14,173.4116,862953,0.376,100,862953,578687,579237,0.3931,45.9535,217323,0.251836427,0.4924,Caenorhabditis
15,56.4407,814827,0.638,99.9919,814761,152071,152044,0.6325,0.0073,3231,0.003965259,0.5619,Delftia
16,214.2051,847173,0.3759,99.9999,847172,753504,753684,0.3947,262.3091,411231,0.485415612,0.4821,Caenorhabditis
17,211.0478,831784,0.3718,100,831784,697300,698081,0.3872,187.8245,329929,0.396652256,0.4728,Caenorhabditis
18,176.0875,772048,0.3798,99.9999,772047,553440,554088,0.3973,257.9062,231319,0.299617381,0.4882,Caenorhabditis
19,212.4539,774027,0.3704,100,774027,656284,656902,0.3875,300.7901,410472,0.530307082,0.4843,Caenorhabditis
20,132.5216,714046,0.6702,99.9997,714044,306342,306291,0.6627,0.1198,5025,0.007037362,0.558,Parastrongyloides
21,229.7738,782820,0.3791,99.9847,782700,695327,695513,0.3937,180.6669,399870,0.510807082,0.4805,Caenorhabditis
22,291.1948,754549,0.3799,100,754549,681244,681447,0.3949,96.5436,258739,0.342905497,0.492,Caenorhabditis
23,63.7209,680360,0.6345,99.8045,679030,125664,125794,0.6311,0.0044,2249,0.003305603,0.5465,Comamonas
24,164.8487,679843,0.3842,100,679843,473963,473837,0.4015,117.8009,197645,0.290721534,0.5075,Caenorhabditis
25,51.7732,638593,0.6269,99.8948,637921,111238,111352,0.6238,0.0108,2727,0.004270326,0.543,Delftia
26,157.3015,672415,0.3762,99.9976,672399,453118,453282,0.3941,87.9247,194153,0.288739841,0.4494,Caenorhabditis
27,366.297,783681,0.3896,100,783681,581488,581242,0.4093,119.6583,185548,0.236764704,0.5135,Caenorhabditis
28,220.9268,671333,0.3759,99.9999,671332,578339,578062,0.3915,211.1772,274486,0.408867134,0.4765,Caenorhabditis
29,200.032,665020,0.3765,99.9979,665006,443383,443154,0.3946,41.4158,182473,0.274387236,0.4761,Caenorhabditis
30,259.8946,666079,0.3922,100,666079,549656,549899,0.4083,120.6072,211868,0.31808239,0.5019,Caenorhabditis
31,141.2731,595329,0.6741,99.9466,595011,263183,263120,0.6716,0.043,1974,0.003315814,0.5692,Parastrongyloides
32,242.1758,628987,0.3867,100,628987,557163,556876,0.4015,131.6241,224106,0.356296712,0.5049,Caenorhabditis
33,212.4623,611377,0.3824,99.999,611371,549246,549048,0.3969,133.3689,225050,0.368103478,0.4843,Caenorhabditis
34,249.0434,637436,0.3746,99.9997,637434,497432,497526,0.3919,96.8952,169709,0.266236924,0.49,Caenorhabditis
35,197.9794,583068,0.37,100,583068,484705,484384,0.3861,195.344,286701,0.491711087,0.4697,Caenorhabditis
36,118.9815,546596,0.6662,99.9998,546595,220845,220838,0.6639,0.0139,2236,0.004090773,0.5495,Microbacterium
37,229.6584,576646,0.3819,100,576646,515395,515371,0.3969,285.751,287710,0.498936956,0.4862,Caenorhabditis
38,270.6779,614121,0.3779,99.9472,613797,508335,509143,0.3938,126.2801,193473,0.315040521,0.4966,Caenorhabditis
39,282.8539,636963,0.3862,99.994,636925,479649,479722,0.4043,114.9537,136731,0.21466082,0.5021,Caenorhabditis
40,158.8648,528588,0.3766,99.9775,528469,360325,360548,0.3939,44.496,165779,0.313626113,0.4756,Caenorhabditis
41,202.4611,547807,0.3736,100,547807,480260,480252,0.3895,91.8445,196921,0.359471493,0.4678,Caenorhabditis
42,219.8314,554750,0.3769,100,554750,483289,483630,0.3917,277.5604,193930,0.349580892,0.4961,Caenorhabditis
43,270.6115,567964,0.39,100,567964,475849,476054,0.4055,107.4623,150293,0.264617124,0.5127,Caenorhabditis
44,233.425,540305,0.3856,100,540305,496510,495776,0.3998,107.3951,212211,0.392761496,0.4748,Caenorhabditis
