ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,RNA_Avg_fold,RNA_Covered_bases,RNA_Covered_percent,Read_GC,Origin,,Origin
1859,135.2955,51028,0.4988,94.7421,48345,6133,6182,0.5035,2.7355,542,0.01062162,0.5646,Other Animalia,,Acanthurus
3620,150.0307,3649,0.4596,100,3649,1826,1826,0.4588,0,0,0,0,Other Animalia,,Acanthurus
3896,73.8447,2871,0.5049,88.1574,2531,707,707,0.5158,0,0,0,0,Other Animalia,,Acanthurus
1349,115.0707,43302,0.4494,99.515,43092,16619,16613,0.4526,0,0,0,0,Other Animalia,,Antennarius
4684,282.0992,1421,0.4054,100,1421,1385,1372,0.4083,0,0,0,0,Other Animalia,,Aplysia
3912,83.3784,2849,0.3431,97.894,2789,792,792,0.3473,0,0,0,0,Other Animalia,,Aulonocara
1896,101.85,20612,0.4341,100,20612,6964,6966,0.4358,0,0,0,0,Other Animalia,,Austrofundulus
2882,138.3972,7656,0.5127,100,7656,3395,3325,0.529,0,0,0,0,Other Animalia,,Austrofundulus
2913,27.3062,36731,0.4581,18.8615,6928,3388,3320,0.4604,0,0,0,0,Other Animalia,,Austrofundulus
3338,70.2376,4920,0.5485,95.7317,4710,1135,1130,0.5443,0,0,0,0,Other Animalia,,Austrofundulus
3669,125.2337,3479,0.4406,99.9425,3477,1443,1454,0.4181,0,0,0,0,Other Animalia,,Austrofundulus
3707,84.3476,3357,0.5654,94.8466,3184,944,944,0.5573,0,0,0,0,Other Animalia,,Austrofundulus
3963,101.0982,2689,0.5526,100,2689,907,917,0.5596,0,0,0,0,Other Animalia,,Austrofundulus
4002,178.2248,2580,0.5481,100,2580,1535,1535,0.5655,0,0,0,0,Other Animalia,,Austrofundulus
4052,99.0698,2422,0.5698,99.8761,2419,800,800,0.5694,0,0,0,0,Other Animalia,,Austrofundulus
4126,94.0147,2248,0.5356,100,2248,707,707,0.539,0,0,0,0,Other Animalia,,Austrofundulus
4252,154.3907,1981,0.401,100,1981,1021,1022,0.4221,13.9849,653,0.329631499,0.472,Other Animalia,,Austrofundulus
4476,87.5699,1632,0.5741,95.2819,1555,463,474,0.5846,0,0,0,0,Other Animalia,,Austrofundulus
5271,78.9823,1074,0.4115,100,1074,296,272,0.3938,0.5475,311,0.289571695,0.445,Other Animalia,,Austrofundulus
189,41.8506,387715,0.3308,99.9992,387712,51366,51387,0.3316,12.0232,233927,0.60334782,0.3491,Candida,,Candida
259,43.0013,344288,0.345,98.8045,340172,44266,44306,0.3454,12.632,208699,0.606175644,0.368,Candida,,Candida
288,50.1992,307859,0.3223,99.9968,307849,40683,40665,0.3227,12.5593,190847,0.61991691,0.3384,Candida,,Candida
301,41.1945,290192,0.3204,99.9793,290132,38420,38436,0.3214,11.829,169101,0.582721095,0.3372,Candida,,Candida
322,44.7922,276941,0.3185,100,276941,36744,36757,0.3195,12.3048,170979,0.617384208,0.3351,Candida,,Candida
324,41.3022,272692,0.3437,100,272692,36860,36870,0.3452,13.1856,175426,0.643311868,0.3638,Candida,,Candida
338,40.0982,267979,0.3404,99.9485,267841,35792,35785,0.341,12.8728,169027,0.630747185,0.3617,Candida,,Candida
339,45.7592,266572,0.3373,99.9737,266502,35087,35076,0.3377,12.8273,167667,0.628974536,0.3568,Candida,,Candida
344,45.7595,265271,0.3358,100,265271,35962,35896,0.3363,16.6087,172863,0.651646806,0.3572,Candida,,Candida
367,49.6629,252691,0.3257,99.9976,252685,33421,33447,0.3261,14.9811,154745,0.612388253,0.3456,Candida,,Candida
379,29.4179,242736,0.3642,100,242736,22372,22349,0.3703,10.6508,172116,0.70906664,0.3877,Candida,,Candida
397,40.2952,236480,0.3325,100,236480,31540,31542,0.3332,12.8351,148243,0.626873309,0.3506,Candida,,Candida
402,41.2374,232314,0.3282,100,232314,30882,30871,0.329,13.4037,131406,0.565639608,0.3478,Candida,,Candida
403,22.0058,232592,0.3425,99.288,230936,16618,16702,0.3424,7.0433,144613,0.621745374,0.3651,Candida,,Candida
411,45.0846,227234,0.326,99.2897,225620,29688,29646,0.3266,13.0902,143040,0.629483264,0.3415,Candida,,Candida
431,41.5348,220025,0.3375,100,220025,29593,29572,0.338,13.2107,135482,0.6157573,0.3552,Candida,,Candida
433,40.4551,217109,0.3452,100,217109,28930,28925,0.3466,14.6684,153874,0.708740771,0.3611,Candida,,Candida
485,40.6012,197189,0.3317,100,197189,26252,26255,0.3324,13.2388,131914,0.668972407,0.3458,Candida,,Candida
495,45.4867,189566,0.3474,100,189566,26037,26050,0.3493,13.407,121530,0.641095977,0.371,Candida,,Candida
501,20.6076,188167,0.3404,98.656,185638,12413,12413,0.3405,6.2451,112162,0.596076889,0.3633,Candida,,Candida
516,37.8325,202849,0.3255,99.9058,202658,23692,23721,0.3269,10.0481,100113,0.4935346,0.3485,Candida,,Candida
518,40.2955,183627,0.3461,98.7044,181248,24410,24451,0.3466,13.5932,115236,0.627554771,0.363,Candida,,Candida
533,40.5503,179226,0.3181,97.3391,174457,23412,23414,0.3198,12.6011,110446,0.616238715,0.329,Candida,,Candida
535,37.2302,214817,0.3347,98.2757,211113,24610,24559,0.3371,10.364,108690,0.505965543,0.3614,Candida,,Candida
536,43.7148,177926,0.338,100,177926,24793,24805,0.3385,11.7726,95746,0.53812259,0.354,Candida,,Candida
537,37.4092,175022,0.3556,99.9954,175014,21769,21767,0.355,13.4575,119639,0.683565495,0.3796,Candida,,Candida
564,39.3684,184769,0.3154,100,184769,22427,22417,0.3165,19.5916,108204,0.585617717,0.3277,Candida,,Candida
604,40.6504,158917,0.3322,100,158917,21115,21092,0.3331,10.5146,81074,0.510165684,0.3571,Candida,,Candida
606,48.9956,174548,0.3238,99.9994,174547,21168,21166,0.3243,12.6792,108413,0.621107088,0.3327,Candida,,Candida
608,40.4679,155915,0.3491,99.6222,155326,21014,21043,0.3503,12.9026,96817,0.620960139,0.3704,Candida,,Candida
613,41.0994,154193,0.3227,100,154193,20818,20817,0.3221,12.6093,96731,0.627337168,0.3362,Candida,,Candida
617,40.8234,152812,0.3452,99.6283,152244,20537,20534,0.3463,12.6826,94478,0.618262964,0.3676,Candida,,Candida
630,41.2539,147874,0.3469,99.9696,147829,19732,19729,0.3474,14.3105,93096,0.629563006,0.3688,Candida,,Candida
637,40.108,147135,0.3465,99.1525,145888,19549,19524,0.3471,13.5471,96887,0.658490502,0.3702,Candida,,Candida
639,49.906,146490,0.335,100,146490,21837,21755,0.3362,15.076,89998,0.614362755,0.3572,Candida,,Candida
645,41.1576,144772,0.3288,99.9606,144715,19363,19360,0.3299,11.7004,82728,0.571436466,0.3507,Candida,,Candida
658,35.646,138929,0.3138,84.2042,116984,15582,15579,0.3171,9.5522,62723,0.451475214,0.3382,Candida,,Candida
667,45.1699,136819,0.3346,100,136819,18754,18741,0.3352,12.7736,84693,0.619014903,0.3517,Candida,,Candida
680,42.9859,135624,0.3253,100,135624,17342,17358,0.3259,14.8525,82532,0.608535362,0.3438,Candida,,Candida
682,20.0719,133911,0.3223,100,133911,8944,8942,0.3227,5.8632,78201,0.583977418,0.3382,Candida,,Candida
701,24.6289,130281,0.3259,100,130281,9003,8976,0.3274,5.8898,73982,0.567864846,0.3418,Candida,,Candida
705,40.5861,130835,0.3464,99.5758,130280,17600,17623,0.348,13.5786,86524,0.661321512,0.3623,Candida,,Candida
722,39.7462,125914,0.3791,99.4957,125279,16690,16685,0.3794,15.5287,91041,0.723041123,0.3992,Candida,,Candida
742,40.5165,121556,0.3381,99.9959,121551,16064,16052,0.3381,11.355,68146,0.560614038,0.3647,Candida,,Candida
762,40.7142,117637,0.3698,99.7152,117302,15994,15986,0.3708,14.8185,83276,0.707906526,0.3925,Candida,,Candida
763,41.2019,117404,0.3235,98.742,115927,15393,15389,0.3238,12.5662,73211,0.62358182,0.3353,Candida,,Candida
778,36.0208,120588,0.3434,97.6333,117734,13983,13984,0.3428,10.5567,67222,0.557451819,0.3621,Candida,,Candida
794,40.7376,111313,0.354,99.9991,111312,14972,15015,0.3545,14.1344,75654,0.679651074,0.3769,Candida,,Candida
819,22.2566,106504,0.3753,100,106504,7352,7396,0.3757,7.3587,73814,0.693063171,0.3959,Candida,,Candida
832,19.9376,104222,0.3542,100,104222,6928,6929,0.3543,6.9831,67544,0.648078141,0.3728,Candida,,Candida
834,40.1899,104701,0.347,99.9971,104698,13736,13734,0.3472,13.1682,66637,0.636450464,0.3726,Candida,,Candida
843,42.0242,102558,0.3349,100,102558,13699,13692,0.3362,12.8204,65678,0.640398604,0.3575,Candida,,Candida
847,37.8517,102422,0.3296,97.0934,99445,12791,12821,0.3298,12.1641,64106,0.625900685,0.3411,Candida,,Candida
849,39.8833,102829,0.328,99.9844,102813,13580,13584,0.3286,13.0748,67185,0.653366268,0.3433,Candida,,Candida
854,20.1052,101373,0.3023,99.7909,101161,6729,6728,0.3022,5.3944,54666,0.539256015,0.3062,Candida,,Candida
857,40.8393,100059,0.3274,100,100059,13319,13309,0.3296,11.5467,54865,0.548326487,0.3524,Candida,,Candida
860,40.5137,102373,0.3046,100,102373,13199,13206,0.3063,10.7216,56290,0.549852012,0.3129,Candida,,Candida
893,39.7495,95550,0.3267,99.9759,95527,12662,12662,0.3273,11.7605,54258,0.567849294,0.3436,Candida,,Candida
906,40.7419,92795,0.3392,99.9418,92741,12475,12490,0.3395,11.5741,53373,0.575171076,0.3645,Candida,,Candida
925,40.259,87848,0.3427,99.9715,87823,11694,11694,0.3439,10.9245,46118,0.524974957,0.3711,Candida,,Candida
941,39.5883,85149,0.341,98.2854,83689,11140,11168,0.3415,12.8585,55013,0.646079226,0.3608,Candida,,Candida
960,41.1286,82467,0.3873,100,82467,11308,11333,0.3886,16.824,62580,0.758848994,0.4098,Candida,,Candida
968,20.2666,81333,0.3378,99.6717,81066,5413,5415,0.3385,6.2783,49300,0.606150025,0.36,Candida,,Candida
973,38.5828,80697,0.3383,99.9777,80679,10301,10300,0.3387,13.4219,53574,0.663890851,0.3604,Candida,,Candida
977,31.4835,81756,0.3057,86.149,70432,8537,8528,0.3114,8.5648,34546,0.422550027,0.328,Candida,,Candida
987,39.908,79302,0.3137,100,79302,10558,10560,0.3135,11.1217,44475,0.560830748,0.3198,Candida,,Candida
988,39.4714,79014,0.3154,99.0673,78277,10207,10207,0.316,12.5934,49129,0.621775888,0.3328,Candida,,Candida
1003,39.0505,78293,0.3286,99.9987,78292,10147,10144,0.3305,13.1568,52170,0.666343096,0.3414,Candida,,Candida
1029,39.8669,72968,0.316,99.963,72941,9697,9694,0.3175,13.9196,50191,0.687849468,0.3303,Candida,,Candida
1040,42.5993,70896,0.3303,99.9803,70882,9950,9944,0.3306,10.6626,35782,0.504711126,0.3555,Candida,,Candida
1056,32.9208,87126,0.3017,81.6209,71113,9565,9562,0.3037,11.623,51257,0.588308886,0.3069,Candida,,Candida
1072,40.7585,67632,0.3312,97.5781,65994,9112,9095,0.3341,11.8557,37583,0.555698486,0.3505,Candida,,Candida
1080,44.9936,68202,0.3397,99.8079,68071,10043,10080,0.3427,13.4646,41555,0.609292983,0.3711,Candida,,Candida
1106,41.7007,63767,0.3264,99.9875,63759,8798,8836,0.3265,13.9245,41680,0.65362962,0.3414,Candida,,Candida
1107,39.2579,64859,0.3156,99.889,64787,8464,8454,0.3171,12.3222,39833,0.614147613,0.332,Candida,,Candida
1116,38.6465,62876,0.3041,98.0851,61672,8111,8117,0.305,12.9838,40854,0.649755073,0.3144,Candida,,Candida
1130,42.2905,61117,0.3349,100,61117,8247,8252,0.3359,13.363,40350,0.660209107,0.3511,Candida,,Candida
1150,39.8723,58997,0.3034,100,58997,7839,7837,0.303,11.9697,35318,0.598640609,0.3157,Candida,,Candida
1157,39.4544,58804,0.3671,100,58804,7698,7701,0.3684,14.5413,42197,0.717587239,0.3876,Candida,,Candida
1163,40.0063,58017,0.3527,100,58017,7692,7706,0.3545,12.7689,38179,0.658065739,0.3816,Candida,,Candida
1176,42.9655,57064,0.3343,99.993,57060,7757,7749,0.3358,13.922,34533,0.605162624,0.3514,Candida,,Candida
1188,40.2722,55178,0.3134,98.4541,54325,7422,7439,0.3131,9.4012,25540,0.462865635,0.3346,Candida,,Candida
1193,42.6396,54774,0.315,99.8412,54687,7786,7789,0.3166,13.4142,35026,0.639463979,0.3278,Candida,,Candida
1202,44.143,53526,0.4032,99.9981,53525,7459,7466,0.4044,16.4585,39367,0.735474349,0.424,Candida,,Candida
1203,40.0313,54006,0.355,99.9852,53998,7216,7214,0.3553,14.2499,35406,0.655593823,0.3782,Candida,,Candida
1212,31.2712,53426,0.3074,84.4963,45143,5569,5569,0.3131,8.4425,22798,0.426721072,0.3285,Candida,,Candida
1215,28.4607,53260,0.3132,95.2253,50717,5176,5088,0.3244,5.7644,30404,0.570859932,0.3224,Candida,,Candida
1229,38.3881,52182,0.3062,97.7502,51008,6632,6642,0.3046,12.0121,35068,0.672032502,0.3091,Candida,,Candida
1239,40.7961,51015,0.3412,99.9863,51008,6904,6903,0.3413,14.7754,37932,0.743546016,0.3542,Candida,,Candida
1252,56.4476,49802,0.3176,100,49802,8256,8263,0.3384,19.6556,31638,0.635275692,0.3548,Candida,,Candida
1265,39.9697,49846,0.3108,99.2517,49473,6565,6563,0.316,9.3662,23795,0.477370301,0.3167,Candida,,Candida
1267,41.9629,48841,0.3411,100,48841,6793,6787,0.3423,14.8505,35393,0.724657562,0.3511,Candida,,Candida
1278,40.2172,47796,0.3158,100,47796,6375,6379,0.3181,10.0383,25095,0.525043937,0.3279,Candida,,Candida
1280,40.4279,47717,0.3069,100,47717,6353,6353,0.3073,11.2756,23771,0.498166272,0.3293,Candida,,Candida
1287,38.3345,48480,0.3106,97.6114,47322,6073,6077,0.3123,11.8043,29700,0.612623762,0.3186,Candida,,Candida
1307,38.844,46246,0.3239,97.0657,44889,6001,6014,0.3237,12.9649,29385,0.635406305,0.3366,Candida,,Candida
1315,54.475,46792,0.3048,98.816,46238,7578,7532,0.3091,7.7243,18077,0.386326723,0.3065,Candida,,Candida
1317,37.9929,45573,0.3282,97.7728,44558,5786,5775,0.3298,10.8078,25413,0.557632809,0.3377,Candida,,Candida
1343,23.2245,43702,0.3457,99.8078,43618,3056,3058,0.351,8.9478,27096,0.620017391,0.3764,Candida,,Candida
1344,39.9303,43534,0.3351,100,43534,5799,5800,0.3368,10.7402,22813,0.524027197,0.3563,Candida,,Candida
1355,39.8911,42895,0.3337,99.7506,42788,5717,5711,0.334,12.9631,27040,0.630376501,0.358,Candida,,Candida
1361,33.9028,60463,0.2936,100,60463,6438,6447,0.2949,9.2427,28198,0.466367861,0.2859,Candida,,Candida
1372,20.1111,41997,0.3071,100,41997,2806,2804,0.3082,6.1412,24592,0.585565636,0.3147,Candida,,Candida
1380,39.9172,41282,0.3331,100,41282,5480,5480,0.3323,11.8659,23661,0.57315537,0.3585,Candida,,Candida
1387,19.8716,42027,0.3599,99.9976,42026,2787,2792,0.3586,6.6311,26087,0.620720013,0.3867,Candida,,Candida
1405,43.5069,39975,0.3558,99.985,39969,5671,5667,0.3632,14.9682,25785,0.645028143,0.396,Candida,,Candida
1412,32.5445,39200,0.3603,81.3291,31881,4262,4262,0.3588,9.7914,19190,0.489540816,0.3841,Candida,,Candida
1442,41.6733,38519,0.3282,98.676,38009,5357,5358,0.3291,12.7167,23112,0.600015577,0.3478,Candida,,Candida
1456,36.8013,36694,0.3278,93.0179,34132,4538,4506,0.3296,8.7391,15031,0.409631002,0.376,Candida,,Candida
1460,39.6525,36135,0.31,99.9447,36115,4792,4788,0.3104,9.871,18399,0.509173931,0.321,Candida,,Candida
1481,40.0631,35255,0.3246,96.8345,34139,4672,4686,0.3251,11.9782,21240,0.602467735,0.3407,Candida,,Candida
1488,45.8459,34870,0.2919,100,34870,4684,4685,0.2928,12.1541,21258,0.60963579,0.2957,Candida,,Candida
1507,29.5691,34082,0.3153,73.8249,25161,3312,3323,0.3058,10.4591,17744,0.520626724,0.3093,Candida,,Candida
1520,39.2505,34279,0.3154,99.9242,34253,4490,4493,0.3185,11.1813,19708,0.574929257,0.3264,Candida,,Candida
1525,44.3829,33461,0.3113,100,33461,4966,4955,0.3132,10.0698,16005,0.478318042,0.3311,Candida,,Candida
1526,47.1966,33305,0.3234,100,33305,5204,5220,0.3255,11.6949,17354,0.521062903,0.3405,Candida,,Candida
1554,39.6899,32166,0.2892,100,32166,4223,4216,0.2888,8.6156,14111,0.43869303,0.29,Candida,,Candida
1556,39.6357,32123,0.3234,99.9969,32122,4245,4245,0.3245,12.0035,19334,0.601874047,0.337,Candida,,Candida
1569,38.7326,31542,0.3352,97.749,30832,4068,4086,0.3354,10.6147,17278,0.547777566,0.3564,Candida,,Candida
1576,20.0886,31126,0.4045,99.9743,31118,2085,2085,0.4032,9.9693,27081,0.870044336,0.4231,Candida,,Candida
1601,38.4883,30376,0.3252,94.9533,28843,3900,3905,0.327,10.8365,15443,0.508394785,0.349,Candida,,Candida
1610,28.0595,30060,0.4176,92.5349,27816,2845,2841,0.4124,8.1253,17884,0.594943446,0.4186,Candida,,Candida
1642,40.1546,28579,0.3061,100,28579,3829,3834,0.3068,13.6544,19592,0.685538332,0.3118,Candida,,Candida
1644,40.0166,28325,0.3319,100,28325,3780,3780,0.3322,12.9128,17297,0.610661959,0.3539,Candida,,Candida
1670,39.9047,27146,0.299,100,27146,3617,3614,0.2997,11.8642,16085,0.592536654,0.3178,Candida,,Candida
1675,43.2298,27317,0.3248,100,27317,3945,3945,0.3254,7.2713,9949,0.36420544,0.3638,Candida,,Candida
1693,41.4342,26790,0.3434,99.6043,26684,3685,3682,0.3444,8.4712,10554,0.393952968,0.3686,Candida,,Candida
1710,40.0283,26219,0.3151,100,26219,3500,3500,0.3169,10.5177,13798,0.526259583,0.3366,Candida,,Candida
1779,59.9454,23901,0.3411,99.9916,23899,4777,4759,0.353,22.3794,17171,0.718421823,0.3665,Candida,,Candida
1807,40.4979,24210,0.2881,99.8389,24171,3216,3216,0.2882,11.0847,13439,0.555101198,0.3049,Candida,,Candida
1863,37.9907,21504,0.3239,99.9674,21497,2727,2727,0.3247,14.7152,16162,0.751581101,0.3315,Candida,,Candida
1883,53.028,22266,0.283,99.6317,22184,3829,3852,0.2952,7.6442,8934,0.401239558,0.2687,Candida,,Candida
1888,19.3092,21025,0.4107,100,21025,1361,1356,0.4086,8.4162,15504,0.737407848,0.4359,Candida,,Candida
1932,39.3909,19835,0.2807,99.995,19834,2601,2599,0.2833,13.8032,13996,0.705621376,0.2751,Candida,,Candida
1981,39.901,18652,0.3068,99.9786,18648,2480,2480,0.3071,12.7627,11839,0.63473086,0.3186,Candida,,Candida
1988,46.7605,18506,0.309,99.9946,18505,2813,2810,0.312,11.5039,10841,0.585810008,0.3089,Candida,,Candida
1989,38.4263,18508,0.2935,99.8271,18476,2368,2371,0.2943,11.4722,11235,0.607034796,0.2833,Candida,,Candida
1996,38.8426,18369,0.3095,100,18369,2359,2373,0.3222,11.5979,10416,0.5670423,0.3309,Candida,,Candida
2021,48.6857,17907,0.3371,100,17907,2744,2745,0.3487,18.3766,11818,0.659965377,0.3675,Candida,,Candida
2076,20.2617,17002,0.2948,99.9882,17000,1151,1150,0.2962,6.4791,11142,0.655334667,0.2947,Candida,,Candida
2186,39.3029,15126,0.3012,100,15126,1979,1979,0.3033,9.5075,7738,0.511569483,0.3121,Candida,,Candida
2189,35.8048,15065,0.3148,99.1968,14944,1795,1795,0.323,12.6447,9507,0.631065383,0.3371,Candida,,Candida
2229,4.607,14464,0.2982,20.4577,2959,221,221,0.2837,2.0233,1993,0.137790376,0.2834,Candida,,Candida
2239,39.7298,14291,0.4203,99.993,14290,1895,1895,0.4204,19.4093,11235,0.786159121,0.4442,Candida,,Candida
2242,20.0205,14227,0.3484,100,14227,950,950,0.3487,7.7999,10507,0.738525339,0.3623,Candida,,Candida
2280,20.4382,13840,0.4137,100,13840,943,943,0.4119,9.7228,10604,0.766184971,0.4358,Candida,,Candida
2290,13.0442,13676,0.3309,40.4577,5533,595,595,0.36,5.0803,4467,0.326630594,0.3695,Candida,,Candida
2306,37.8471,13503,0.3347,98.6299,13318,1705,1705,0.3317,8.5889,5947,0.440420647,0.3389,Candida,,Candida
2314,39.4064,12443,0.2956,100,12443,1617,1630,0.2953,5.6287,3597,0.289078197,0.2827,Candida,,Candida
2352,39.847,12842,0.3009,100,12842,1710,1710,0.2992,2.1792,1432,0.111509111,0.2782,Candida,,Candida
2411,39.8401,12142,0.3182,100,12142,1614,1621,0.3185,14.072,8059,0.663729204,0.329,Candida,,Candida
2452,45.1004,11752,0.3329,99.9915,11751,1772,1765,0.3327,10.9718,5706,0.485534377,0.3409,Candida,,Candida
2547,28.7231,10827,0.3509,71.257,7715,1018,1018,0.3595,8.4766,4653,0.429758936,0.3823,Candida,,Candida
2553,35.4957,12017,0.2841,100,12017,1399,1399,0.284,9.9324,6350,0.528418074,0.2968,Candida,,Candida
