ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,Origin,,Origin
2538,98.5236,13203,0.5034,100,13203,4265,4288,0.5055,Other Animalia,,Acanthurus
4697,150.0307,3649,0.4596,100,3649,1826,1826,0.4588,Other Animalia,,Acanthurus
5172,73.8447,2871,0.5049,88.1574,2531,707,707,0.5158,Other Animalia,,Acanthurus
860,54.054,93007,0.6266,100,93007,6061,6045,0.6273,Other Animalia,,Alicycliphilus
1905,19.0563,22635,0.6093,97.1504,21990,1439,1439,0.6099,Other Animalia,,Amycolatopsis
5386,98.5429,2503,0.4543,99.8402,2499,823,818,0.4647,Other Animalia,,Anguilla
2010,132.6134,20575,0.4467,100,20575,8655,8834,0.4643,Other Animalia,,Anisakis
6067,195.0741,1808,0.4116,100,1808,1229,1188,0.4124,Other Animalia,,Aplysia
6692,110.6024,1421,0.4044,93.6664,1331,533,554,0.4187,Other Animalia,,Aplysia
5192,83.3784,2849,0.3431,97.894,2789,792,792,0.3473,Other Animalia,,Aulonocara
2008,102.1264,20612,0.4341,100,20612,6974,6976,0.4358,Other Animalia,,Austrofundulus
3412,155.4018,7477,0.4603,99.9599,7474,3928,3866,0.463,Other Animalia,,Austrofundulus
3769,132.9437,6044,0.4974,100,6044,2564,2472,0.5078,Other Animalia,,Austrofundulus
4498,93.8838,4097,0.4721,100,4097,1275,1295,0.4693,Other Animalia,,Austrofundulus
4899,148.873,3236,0.5497,100,3236,1279,1278,0.5675,Other Animalia,,Austrofundulus
4913,87.4249,3231,0.5648,96.7812,3127,944,944,0.5573,Other Animalia,,Austrofundulus
5468,99.0698,2422,0.5698,99.8761,2419,800,800,0.5694,Other Animalia,,Austrofundulus
5600,94.0147,2248,0.5356,100,2248,707,707,0.539,Other Animalia,,Austrofundulus
5653,134.7302,2194,0.5354,100,2194,1070,1042,0.5191,Other Animalia,,Austrofundulus
5850,201.3551,1977,0.4013,100,1977,1292,1399,0.422,Other Animalia,,Austrofundulus
5897,94.2967,1891,0.6415,100,1891,597,597,0.6411,Other Animalia,,Austrofundulus
6317,84.9393,1632,0.5741,95.2819,1555,458,464,0.5823,Other Animalia,,Austrofundulus
7450,82.4798,1138,0.6116,100,1138,312,314,0.6035,Other Animalia,,Austrofundulus
7647,95.0363,1074,0.4115,100,1074,341,313,0.3973,Other Animalia,,Austrofundulus
4162,89.9434,4893,0.4822,98.1606,4803,1468,1474,0.4809,Other Animalia,,Bathybates
6195,92.2436,1712,0.4241,100,1712,526,532,0.4195,Other Animalia,,Canthigaster
6296,84.3447,1645,0.4991,100,1645,465,456,0.5093,Other Animalia,,Canthigaster
7337,112.2944,1104,0.481,100,1104,403,433,0.4767,Other Animalia,,Charadrius
