ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,Origin
0,100.8034,3024312,0.3659,99.9674,3023326,1009160,1009327,0.3663,Arabidopsis
1,30.0313,2990566,0.604,99.9845,2990101,299219,299218,0.6037,Agrobacterium
2,101.9151,2910964,0.369,99.9203,2908644,968914,969046,0.3694,Arabidopsis
3,30.0916,2651215,0.5976,99.9266,2649269,264821,264821,0.5974,Agrobacterium
4,101.4764,2223991,0.3513,100,2223991,738518,738467,0.3517,Arabidopsis
5,102.1127,1967586,0.3654,99.9467,1966538,656658,656806,0.3658,Arabidopsis
6,100.3689,1963752,0.3713,99.9166,1962114,652321,652329,0.3716,Arabidopsis
7,100.0832,1913595,0.3583,99.8678,1911066,635690,635737,0.3588,Arabidopsis
8,101.844,1898611,0.3489,99.9462,1897589,634010,633934,0.3495,Arabidopsis
9,102.714,1831873,0.3626,99.9428,1830825,611866,611786,0.363,Arabidopsis
10,101.607,1687069,0.3475,100,1687069,565670,565633,0.3479,Arabidopsis
11,102.6674,1631399,0.3539,99.9185,1630069,546963,546898,0.354,Arabidopsis
12,100.4682,1597403,0.3623,99.977,1597035,533467,533484,0.3626,Arabidopsis
13,100.6164,1575477,0.3642,99.9996,1575470,525478,525474,0.3642,Arabidopsis
14,105.9918,1463420,0.3723,99.8946,1461878,486862,486922,0.3726,Arabidopsis
15,102.8946,1424541,0.3635,99.9278,1423513,475554,475518,0.3637,Arabidopsis
16,101.9151,1374819,0.3535,99.9999,1374818,460629,460573,0.3541,Arabidopsis
17,103.3807,1230084,0.366,99.9391,1229335,411152,411177,0.3667,Arabidopsis
18,101.0961,1174997,0.3612,99.9911,1174892,392216,392221,0.3616,Arabidopsis
19,101.8959,1087307,0.3742,100,1087307,366736,366705,0.3747,Arabidopsis
20,100.5602,1082985,0.3589,99.9479,1082421,360704,360697,0.3592,Arabidopsis
21,101.5276,1042739,0.3505,99.7905,1040554,347488,347498,0.3511,Arabidopsis
22,101.2335,1016175,0.36,100,1016175,340008,340115,0.3603,Arabidopsis
23,101.2992,1000267,0.3568,99.7406,997672,335993,336007,0.357,Arabidopsis
24,99.8473,950693,0.3632,99.7936,948731,315436,315436,0.3638,Arabidopsis
25,100.0163,929316,0.3605,99.8913,928306,308609,308688,0.361,Arabidopsis
26,100.6547,917946,0.3736,99.9484,917472,306743,306725,0.374,Arabidopsis
27,101.1759,902850,0.3625,99.9999,902849,302199,302192,0.3621,Arabidopsis
28,100.9515,886766,0.3744,99.9985,886753,295664,295690,0.3749,Arabidopsis
29,100.0759,882415,0.3677,100,882415,293848,293846,0.368,Arabidopsis
30,102.8825,876595,0.356,99.9726,876355,295184,295200,0.3566,Arabidopsis
31,100.661,867073,0.3706,100,867073,290149,290140,0.371,Arabidopsis
32,102.2943,839278,0.3661,99.9985,839265,282868,282879,0.367,Arabidopsis
33,99.8036,838903,0.3783,99.5971,835523,277518,277512,0.3786,Arabidopsis
34,101.0091,819089,0.3698,100,819089,274915,274894,0.3704,Arabidopsis
35,102.7742,809763,0.3446,99.8345,808423,273264,273227,0.3454,Arabidopsis
36,101.3279,776327,0.3615,99.9101,775629,260172,260178,0.3615,Arabidopsis
37,116.0496,731318,0.3543,99.8068,729905,244022,244056,0.3544,Arabidopsis
38,103.41,730693,0.3633,100,730693,245767,245775,0.3641,Arabidopsis
39,112.7312,721813,0.3454,99.9992,721807,240431,240538,0.3459,Arabidopsis
40,30.5976,710218,0.6017,99.766,708556,71242,71238,0.601,Agrobacterium
41,101.8253,691779,0.3695,99.6837,689591,231448,231409,0.3703,Arabidopsis
42,100.6602,688739,0.3553,99.724,686838,229659,229762,0.3559,Arabidopsis
43,101.5807,685646,0.3709,99.9991,685640,229891,229905,0.3718,Arabidopsis
44,100.6492,682304,0.3491,99.9285,681816,227067,227122,0.3493,Arabidopsis
45,105.0254,667267,0.3529,99.8855,666503,222263,222349,0.3531,Arabidopsis
46,105.2547,661185,0.3606,100,661185,221126,221036,0.361,Arabidopsis
47,100.7475,635697,0.3726,100,635697,212123,212170,0.3729,Arabidopsis
48,101.5266,633210,0.3541,99.9454,632864,210626,210640,0.3549,Arabidopsis
49,105.9423,628386,0.3417,99.8982,627746,211604,211575,0.3424,Arabidopsis
50,99.8614,625210,0.3631,99.988,625135,208120,208125,0.3637,Arabidopsis
51,106.5876,620700,0.3595,99.9994,620696,210009,210071,0.3605,Arabidopsis
52,100.2964,606828,0.3566,99.9923,606781,202441,202408,0.3574,Arabidopsis
53,100.3482,581079,0.3487,99.7916,579868,192891,192896,0.349,Arabidopsis
54,100.5662,577761,0.3789,99.9958,577737,192474,192705,0.379,Arabidopsis
55,101.1295,569037,0.3452,99.7364,567537,189922,189946,0.3453,Arabidopsis
56,101.129,556645,0.3502,99.9278,556243,186367,186453,0.3509,Arabidopsis
57,105.4693,556118,0.3552,99.9024,555575,187565,187430,0.3569,Arabidopsis
58,115.9759,554779,0.3521,100,554779,187285,187235,0.3513,Arabidopsis
59,101.534,545680,0.3667,99.9907,545629,181792,181840,0.3672,Arabidopsis
60,99.8391,536846,0.3577,99.6254,534835,177744,177737,0.3575,Arabidopsis
61,100.8433,520580,0.3706,99.9954,520556,174994,175003,0.3714,Arabidopsis
62,108.6467,517900,0.3465,99.8801,517279,175714,175723,0.3464,Arabidopsis
63,102.34,510956,0.359,100,510956,171772,171736,0.3593,Arabidopsis
64,100.2583,498959,0.3477,99.9994,498956,165896,165887,0.348,Arabidopsis
65,102.6804,501557,0.3588,99.9998,501556,167868,167865,0.3594,Arabidopsis
66,99.7416,490233,0.3682,100,490233,162988,162989,0.3685,Arabidopsis
67,108.7083,486601,0.337,99.999,486596,163140,163040,0.3382,Arabidopsis
68,104.8966,466653,0.3532,99.7973,465707,158046,158182,0.3544,Arabidopsis
69,101.0399,444310,0.3362,99.9998,444309,149632,149608,0.3364,Arabidopsis
70,103.0206,441865,0.3439,99.8017,440989,149527,149579,0.347,Arabidopsis
