ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,RNA_Avg_fold,RNA_covered_bases,RNA_covered_percent,RNA_Read_GC,Origin
1,188.1718,1087316,0.3005,99.996,1087273,624042,623943,0.3106,138.1588,196883,0.181072476,0.3823,Adineta
2,181.1144,1048610,0.307,99.9973,1048582,577245,577324,0.3168,68.9546,156809,0.149539867,0.3941,Hordeum
3,185.6039,1045751,0.3068,99.9995,1045746,599626,599567,0.316,63.0588,204986,0.196017981,0.3885,Adineta
4,199.1109,1034232,0.3075,99.9463,1033677,560999,561116,0.3179,158.5974,147554,0.142670117,0.3805,Adineta
5,182.2736,1021499,0.3059,99.9995,1021494,573642,573695,0.3156,41.1464,103508,0.101329517,0.3944,Adineta
6,357.4363,1008552,0.3065,99.9696,1008245,1088736,1089245,0.3158,63.3527,223347,0.221453133,0.4121,Oryza
7,179.2109,962643,0.3129,99.9972,962616,536706,536556,0.3227,28.5478,100464,0.104362677,0.4039,Adineta
8,182.9773,956989,0.3035,99.9996,956985,542385,542337,0.3126,503.113,171678,0.179393912,0.3642,Adineta
9,361.7942,947474,0.3084,99.9983,947458,1015299,1015483,0.3172,2684.8919,210025,0.221668352,0.3879,Adineta
10,187.9583,934921,0.3064,99.9935,934860,522661,522401,0.3181,95.6933,138044,0.147653117,0.3908,Adineta
11,179.8343,886118,0.3026,99.9729,885878,494727,494725,0.3122,63.2793,161963,0.18277814,0.4064,Adineta
12,184.846,850182,0.3093,100,850182,476118,476469,0.3186,158.0207,183902,0.216308979,0.3935,Adineta
13,183.3497,827694,0.3054,100,827694,471328,471309,0.3152,133.6689,169338,0.204590102,0.3848,Adineta
14,176.6183,827041,0.3021,99.9987,827030,450955,451209,0.311,78.9231,145634,0.176090424,0.3826,Adineta
15,188.5422,819560,0.307,99.9983,819546,448611,448945,0.3184,564.5712,154854,0.188947728,0.3649,Adineta
16,183.7796,816764,0.304,99.9983,816750,459341,459416,0.3151,171.0171,151557,0.185557885,0.3808,Adineta
17,170.8257,786118,0.3039,99.9868,786014,416762,416837,0.3136,101.5708,132157,0.168113438,0.3775,Adineta
18,174.261,774406,0.3093,99.9997,774404,420727,420805,0.3195,54.7898,118271,0.152724798,0.3765,Adineta
19,179.4756,766813,0.299,99.9995,766809,413918,414118,0.3126,171.7704,112823,0.147132352,0.4164,Adineta
20,177.7174,760496,0.311,99.9996,760493,418033,418037,0.3207,38.2213,88691,0.116622573,0.4014,Adineta
21,203.6668,751534,0.3061,99.9831,751407,426293,426166,0.3181,2176.6629,126241,0.167977763,0.3115,Adineta
22,176.6208,729934,0.3041,99.9862,729833,391096,391091,0.314,132.9454,93529,0.128133502,0.3772,Macrotrachela
23,179.3114,723720,0.3027,99.9994,723716,394405,394479,0.312,67.8561,129916,0.179511413,0.3761,Schistosoma
24,305.3956,719936,0.311,99.9917,719876,681692,681854,0.3188,112.6296,115459,0.160373978,0.3821,Adineta
25,175.9085,712138,0.3051,99.9993,712133,389994,389973,0.315,67.5639,126061,0.177017657,0.3926,Adineta
26,182.8278,698299,0.3066,99.9987,698290,386353,386331,0.3171,80.4676,106817,0.152967425,0.3755,Adineta
27,179.0624,690661,0.3043,99.9889,690584,387494,387561,0.3147,108.9942,134033,0.194064816,0.3842,Adineta
28,190.2963,687549,0.3075,99.9999,687548,408312,408388,0.318,14.8987,69572,0.101188424,0.3811,Adineta
29,180.2308,687296,0.3061,99.9974,687278,384550,384476,0.3152,224.4455,102005,0.148414948,0.3485,Schistosoma
30,176.8058,674821,0.3018,99.9956,674791,365358,365384,0.312,232.3316,111527,0.165269012,0.4039,Oryza
31,183.5666,671881,0.2999,99.7166,669977,380475,380614,0.31,64.9611,88980,0.132434166,0.4074,Hordeum
32,334.3678,667798,0.31,99.9948,667763,653139,653336,0.3207,35.5065,95308,0.142719804,0.3681,Adineta
33,176.0748,666608,0.3073,99.9998,666607,357978,357984,0.3165,139.9388,81727,0.122601289,0.3966,Hordeum
34,184.4303,660068,0.3103,99.9992,660063,375468,375409,0.3207,55.5087,72578,0.109955338,0.4665,Adineta
35,165.6896,642070,0.3005,99.9751,641910,330494,330531,0.311,71.5338,85987,0.133921535,0.3888,Adineta
36,161.4356,641914,0.3104,99.9961,641889,319208,319311,0.3201,34.8944,68589,0.106850762,0.3707,Adineta
37,169.8113,639950,0.3166,100,639950,310879,311020,0.3236,213.0996,58833,0.091933745,0.3413,Adineta
38,176.0569,625073,0.301,100,625073,339727,339801,0.3109,140.0823,88702,0.141906625,0.3549,Adineta
39,184.5313,615610,0.3048,99.9828,615504,350226,350222,0.3151,65.8697,101751,0.165284839,0.3925,Microplitis
40,186.5465,614653,0.3091,99.9886,614583,336434,336610,0.3187,61.8118,97137,0.158035509,0.4304,Adineta
41,170.917,614383,0.3065,99.9989,614376,330894,330893,0.3158,115.9853,94548,0.153890977,0.3733,Adineta
42,147.5691,605570,0.3028,99.9906,605513,279613,279722,0.3116,77.853,72109,0.119076242,0.3901,Adineta
43,177.1575,600374,0.3023,99.7901,599114,325523,325593,0.3111,40.2494,65142,0.108502367,0.3794,Adineta
