ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,RNA_Avg_fold,RNA_Covered_bases,RNA_Covered_percent,RNA_Read_GC,Origin
0,115.2945,1290639,0.4296,100,1290639,468213,467132,0.422,53.9267,473242,0.366672633,0.4972,Drosophila
1,107.2879,1197037,0.405,99.8369,1195085,413715,413778,0.4059,50.9169,273831,0.22875734,0.4796,Drosophila
2,101.1131,1006783,0.4267,100,1006783,335799,335740,0.4269,108.1368,337176,0.334904344,0.4989,Drosophila
3,106.6635,950940,0.4348,100,950940,327718,324746,0.432,56.5849,284864,0.299560435,0.4923,Drosophila
4,99.7713,947005,0.4194,100,947005,314614,314598,0.4196,66.7609,299237,0.315982492,0.5058,Drosophila
5,132.8341,889699,0.4188,99.9033,888839,300482,300695,0.4171,64.6263,200423,0.225270569,0.4901,Drosophila
6,105.364,855299,0.45,100,855299,287288,287208,0.4491,55.9621,248575,0.290629359,0.5186,Drosophila
7,103.003,848238,0.435,100,848238,282336,282343,0.4352,106.4427,281788,0.332203933,0.4981,Drosophila
8,103.5852,834907,0.4187,99.7198,832568,278135,278617,0.4187,66.6184,200583,0.24024592,0.4937,Drosophila
9,102.519,797237,0.4198,99.8948,796398,264885,264871,0.4203,60.9824,217325,0.272597734,0.5015,Drosophila
10,100.9979,720473,0.4299,100,720473,241180,241175,0.4305,73.5836,255021,0.353963299,0.5046,Drosophila
11,109.5202,715530,0.4437,100,715530,239057,240697,0.4442,102.8772,326197,0.455881654,0.5142,Drosophila
12,105.6993,710429,0.4407,100,710429,243227,242922,0.4418,50.346,216609,0.304898871,0.516,Drosophila
13,112.6384,688380,0.424,100,688380,234820,234760,0.4231,70.3589,184379,0.267844795,0.5249,Drosophila
14,3690.1932,666070,0.421,100,666070,281738,280174,0.3967,88.0499,236319,0.354796042,0.5102,Drosophila
15,101.7799,661095,0.4216,99.7745,659604,219344,219292,0.4215,57.1284,181578,0.274662492,0.5051,Drosophila
16,106.7985,648096,0.4276,100,648096,218081,216782,0.4281,47.1636,188699,0.291159026,0.5144,Drosophila
17,100.9294,621309,0.4465,99.9929,621265,207279,207124,0.4465,134.0164,192143,0.309255137,0.5202,Drosophila
18,105.4571,617692,0.4175,100,617692,212968,213086,0.4175,129.9711,221328,0.3583145,0.5067,Drosophila
19,101.5953,604692,0.4156,100,604692,201640,201651,0.4156,52.596,149077,0.246533773,0.4937,Drosophila
20,102.3519,603000,0.4221,99.9997,602998,201679,201662,0.4221,68.3055,248449,0.412021559,0.4888,Drosophila
21,120.0018,596669,0.4282,99.9925,596624,201202,200837,0.4273,92.6848,287844,0.482418225,0.4954,Drosophila
22,121.6006,594663,0.4263,99.5858,592200,196736,196798,0.4271,60.6945,225598,0.379371173,0.501,Drosophila
23,109.9538,592093,0.4052,99.9855,592007,199418,199389,0.4045,41.2149,127523,0.215376638,0.4995,Drosophila
24,102.1095,584764,0.4425,100,584764,194771,194723,0.4424,80.897,219633,0.375592547,0.5117,Drosophila
25,101.54,582454,0.4333,99.7622,581069,195656,198734,0.4317,58.2018,178243,0.306020733,0.5041,Drosophila
26,129.431,566280,0.4221,100,566280,226615,226642,0.4241,98.4086,169781,0.299818111,0.5089,Drosophila
27,100.2862,563030,0.4239,100,563030,188106,188102,0.4237,31.2982,142355,0.252837327,0.5123,Drosophila
28,100.274,550132,0.4601,100,550132,183269,183298,0.4603,80.1464,269037,0.489040812,0.5095,Drosophila
29,101.4171,535769,0.4323,100,535769,178869,178873,0.4326,86.5499,159021,0.296808886,0.5131,Drosophila
30,115.4287,531980,0.4309,99.9788,531867,179064,179079,0.4307,122.6187,193544,0.363818189,0.5116,Drosophila
31,100.2232,526634,0.4412,100,526634,174740,174701,0.4412,51.1055,180343,0.342444658,0.5194,Drosophila
32,105.7133,526080,0.4358,99.7436,524731,175304,175329,0.4362,103.4285,142354,0.270593826,0.4877,Drosophila
33,182.5469,514987,0.4196,100,514987,171225,171440,0.4185,91.0756,153995,0.299026966,0.509,Drosophila
34,102.7048,513639,0.4183,100,513639,171228,171213,0.4183,46.8622,138412,0.269473307,0.5042,Drosophila
35,104.4304,509416,0.4376,100,509416,170065,170179,0.4378,52.7016,197559,0.387814674,0.5062,Drosophila
36,102.2798,505994,0.4329,99.9731,505858,169445,169518,0.434,48.0981,180821,0.357357992,0.5102,Drosophila
37,114.2791,505588,0.4461,99.9998,505587,186741,186650,0.4368,41.2699,116123,0.229679106,0.514,Drosophila
38,40.5496,493249,0.3301,99.9959,493229,64986,64976,0.3308,12.4662,302390,0.613057502,0.3478,Candida
39,101.4415,482522,0.4291,99.9836,482443,160922,160931,0.4294,101.3333,152643,0.316344125,0.523,Drosophila
40,100.1628,475497,0.4394,100,475497,158374,158365,0.4393,55.8009,197725,0.41582807,0.4918,Drosophila
41,102.9188,471277,0.4175,99.7946,470309,156699,156703,0.4179,64.6109,109514,0.232377137,0.4829,Drosophila
42,135.8136,468983,0.4145,100,468983,170445,170211,0.4135,104.0973,167336,0.35680611,0.5077,Drosophila
43,107.0618,465059,0.4261,100,465059,154953,154998,0.4261,53.7322,175998,0.378442305,0.5113,Drosophila
44,101.2093,454269,0.4158,100,454269,151243,151249,0.4159,37.8879,102442,0.225509555,0.492,Drosophila
45,101.1751,452887,0.4436,100,452887,151284,151272,0.4435,57.6408,187868,0.414823124,0.4978,Drosophila
46,100.6027,450129,0.4533,100,450129,150092,150106,0.4534,46.6775,73888,0.1641485,0.5125,Drosophila
47,105.7116,451310,0.3849,100,451310,150070,150036,0.3852,16.0616,62140,0.137688064,0.4556,Drosophila
48,105.1409,448552,0.4401,100,448552,150847,150857,0.4403,52.4642,116698,0.260166045,0.5065,Drosophila
49,106.4852,445973,0.4288,99.926,445643,154788,154819,0.4317,88.5362,126268,0.283129248,0.5099,Drosophila
50,101.4223,444733,0.4109,100,444733,148595,148589,0.4107,74.884,154655,0.347747975,0.4883,Drosophila
51,101.2566,442956,0.4345,100,442956,147566,147559,0.4349,74.3187,183406,0.414050154,0.5047,Drosophila
52,108.2808,441967,0.4388,100,441967,147403,147387,0.4391,72.9675,117680,0.266264223,0.516,Drosophila
53,112.052,441246,0.426,100,441246,148067,148020,0.4258,147.7587,130926,0.296718837,0.5117,Drosophila
54,105.8872,440551,0.4527,100,440551,153162,153419,0.4518,26.9058,121955,0.276823796,0.5283,Drosophila
55,101.8123,439965,0.4029,99.8982,439517,146921,146852,0.4033,88.5102,137607,0.312768061,0.5084,Drosophila
56,100.5368,434047,0.4463,100,434047,144678,144658,0.4463,80.4828,200909,0.462873836,0.5233,Drosophila
57,100.763,431887,0.4388,100,431887,143546,143569,0.4389,67.2353,177123,0.41011422,0.5176,Drosophila
58,105.5369,429290,0.4278,99.9991,429286,148149,148114,0.43,120.0563,238718,0.556076312,0.4886,Drosophila
59,100.4683,429273,0.4064,100,429273,143621,143599,0.4064,54.6782,224471,0.522909664,0.4672,Drosophila
60,100.0464,428268,0.4415,100,428268,142775,142761,0.4418,66.6642,173399,0.404884325,0.5197,Drosophila
61,118.8816,424025,0.4195,100,424025,148474,148468,0.4204,51.9215,94054,0.221812393,0.5025,Drosophila
62,103.1106,423274,0.4292,100,423274,141424,141438,0.4298,55.9871,90207,0.213117272,0.5046,Drosophila
63,102.657,419709,0.4259,100,419709,140687,140679,0.4258,40.0803,102283,0.243699802,0.4829,Drosophila
64,103.5841,416701,0.4219,100,416701,141369,141395,0.4217,80.5837,125109,0.30023686,0.4798,Drosophila
65,106.5361,413788,0.3979,100,413788,142323,142604,0.3975,40.4932,83162,0.200977312,0.4715,Drosophila
66,108.95,413650,0.4084,99.7445,412593,147557,147474,0.4035,57.9543,101195,0.244639188,0.497,Drosophila
67,105.7862,409790,0.3997,100,409790,137547,137587,0.3998,61.445,117925,0.287769345,0.4743,Drosophila
68,245.1163,409267,0.4057,100,409267,158277,158866,0.4063,66.8075,139154,0.340007868,0.4977,Drosophila
69,103.2859,409148,0.4221,100,409148,136437,136460,0.4222,39.3433,87024,0.21269565,0.5135,Drosophila
70,105.1251,406704,0.4576,100,406704,137053,137061,0.4587,83.5139,145500,0.357754042,0.5061,Drosophila
71,140.6908,405205,0.4341,100,405205,135986,136032,0.4327,63.6501,144435,0.356449205,0.5159,Drosophila
72,103.3486,403560,0.4219,100,403560,136638,136667,0.4204,47.9883,133986,0.33201011,0.4952,Drosophila
73,99.9934,400034,0.4151,99.7808,399157,133354,133363,0.4158,176.4184,136157,0.340363569,0.5037,Drosophila
74,119.596,397850,0.4092,100,397850,151306,151355,0.4156,141.2838,109366,0.274892547,0.5029,Drosophila
75,107.5569,397014,0.4264,100,397014,137577,136975,0.4239,78.361,125905,0.317129875,0.5139,Drosophila
76,104.3249,392982,0.4456,100,392982,130807,130739,0.4456,54.6746,128438,0.326829219,0.5251,Drosophila
