ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,Origin
0,115.863,1289128,0.4296,100,1289128,467861,466853,0.4219,Drosophila
1,103.9606,1197082,0.4049,100,1197082,404400,404386,0.4041,Drosophila
2,22.7672,1094498,0.5051,99.9371,1093810,73857,73850,0.5055,Escherichia
3,105.6243,1013294,0.4333,100,1013294,339778,339888,0.4331,Drosophila
4,101.0611,1011219,0.4265,99.8008,1009205,338091,338076,0.4268,Drosophila
5,112.9304,950945,0.4349,100,950945,318946,319078,0.4343,Drosophila
6,99.8541,947005,0.4194,99.86,945679,314770,314785,0.4196,Drosophila
7,126.4987,889703,0.4189,99.9628,889372,300204,300088,0.4173,Drosophila
8,19.8026,863869,0.5006,99.6506,860851,57012,57010,0.5001,Escherichia
9,106.9462,855882,0.45,100,855882,287174,287195,0.4492,Drosophila
10,105.4055,799532,0.4197,100,799532,273425,273440,0.4176,Drosophila
11,101.0765,720473,0.4299,100,720473,241188,241175,0.4305,Drosophila
12,109.3506,715528,0.4437,100,715528,239184,240811,0.4442,Drosophila
13,104.6277,710429,0.4407,100,710429,240211,239923,0.4414,Drosophila
14,20.0554,692334,0.5069,99.7009,690263,46293,46290,0.5069,Escherichia
15,3182.0499,666063,0.421,100,666063,279481,279930,0.3973,Drosophila
16,119.9716,661116,0.4218,100,661116,243789,243822,0.4326,Drosophila
17,106.3766,648097,0.4276,100,648097,217826,216565,0.428,Drosophila
18,101.1783,621309,0.4465,99.9929,621265,207294,207135,0.4465,Drosophila
19,110.0408,617692,0.4175,100,617692,212997,213115,0.4175,Drosophila
20,101.5113,604692,0.4156,100,604692,201675,201684,0.4156,Drosophila
21,102.2957,603000,0.4221,99.998,602988,201643,201624,0.4221,Drosophila
22,115.4985,596202,0.4283,100,596202,200660,200328,0.4271,Drosophila
23,115.6428,594658,0.4263,99.9995,594655,200025,199992,0.4259,Drosophila
24,112.7717,592928,0.4204,100,592928,198033,198025,0.4201,Drosophila
25,101.15,584764,0.4425,100,584764,194777,194718,0.4424,Drosophila
26,99.8115,582454,0.4333,99.7598,581055,193619,193614,0.4333,Drosophila
27,129.6831,566338,0.4221,100,566338,225361,225146,0.4234,Drosophila
28,100.4225,563034,0.4239,100,563034,188097,188094,0.4237,Drosophila
29,100.3137,550160,0.4601,100,550160,183277,183308,0.4603,Drosophila
30,102.3051,535777,0.4323,100,535777,178881,178879,0.4326,Drosophila
31,123.3258,531980,0.4309,99.9788,531867,178982,178996,0.4307,Drosophila
32,102.4825,528178,0.4182,100,528178,176293,176708,0.4183,Drosophila
33,100.2244,526634,0.4412,100,526634,174744,174700,0.4412,Drosophila
34,105.57,523926,0.4356,99.9998,523925,175302,175322,0.4363,Drosophila
35,179.9619,514987,0.4196,100,514987,171315,171524,0.4185,Drosophila
36,110.3143,513640,0.4183,100,513640,177001,177053,0.4188,Drosophila
37,113.0156,511920,0.4459,100,511920,187261,187100,0.4372,Drosophila
38,104.5553,509416,0.4376,100,509416,170113,170270,0.4378,Drosophila
39,101.5759,505993,0.4329,99.9966,505976,168979,169047,0.4335,Drosophila
40,20.5311,504476,0.5122,99.2341,500612,32933,32932,0.512,Escherichia
41,103.2355,482512,0.4291,100,482512,161312,161350,0.4294,Drosophila
42,100.0229,475499,0.4394,100,475499,158382,158401,0.4393,Drosophila
43,102.6741,471277,0.4175,99.801,470339,156696,156698,0.4179,Drosophila
44,121.2554,468985,0.4145,100,468985,170553,170439,0.4133,Drosophila
45,110.4454,465543,0.4262,100,465543,155712,155731,0.4261,Drosophila
46,110.5761,463219,0.4077,100,463219,155167,155136,0.407,Drosophila
47,102.5499,454885,0.4158,100,454885,152585,152539,0.4161,Drosophila
48,101.1743,452887,0.4436,100,452887,151283,151271,0.4435,Drosophila
49,100.0821,450130,0.4533,100,450130,150121,150099,0.4534,Drosophila
50,107.1566,451310,0.3849,100,451310,150093,150073,0.3852,Drosophila
51,105.5273,448552,0.4401,100,448552,150766,150777,0.4404,Drosophila
52,102.1994,444322,0.4285,99.838,443602,148451,148460,0.4294,Drosophila
53,101.4224,444733,0.4109,100,444733,148594,148591,0.4107,Drosophila
54,117.1937,444225,0.4341,100,444225,148533,148530,0.4343,Drosophila
55,108.8444,441967,0.4388,100,441967,147380,147314,0.4391,Drosophila
56,113.8644,441246,0.426,100,441246,148766,148729,0.426,Drosophila
57,106.9661,440551,0.4527,100,440551,153807,154088,0.4519,Drosophila
58,101.6907,439965,0.4029,99.8982,439517,146914,146860,0.4033,Drosophila
59,100.5374,434047,0.4463,100,434047,144680,144659,0.4463,Drosophila
60,100.7636,431887,0.4388,100,431887,143544,143570,0.4389,Drosophila
61,105.5324,429290,0.4278,99.9991,429286,148159,148113,0.43,Drosophila
62,100.4673,429287,0.4064,100,429287,143628,143600,0.4064,Drosophila
63,23.7089,428577,0.5083,100,428577,28657,28655,0.5084,Escherichia
64,100.0963,428268,0.4415,100,428268,142761,142776,0.4418,Drosophila
65,116.7082,424025,0.4195,100,424025,147570,147600,0.42,Drosophila
66,101.5843,422979,0.4292,100,422979,141073,141068,0.4298,Drosophila
67,103.3625,418624,0.426,99.7716,417668,139443,139432,0.4263,Drosophila
68,102.9906,416701,0.4219,100,416701,141371,141389,0.4217,Drosophila
69,106.092,413788,0.3979,100,413788,142712,142992,0.3977,Drosophila
70,107.6979,413553,0.4084,99.9246,413241,147475,147339,0.4036,Drosophila
71,106.0252,413500,0.4221,100,413500,140560,140705,0.4214,Drosophila
