ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,RNA_Avg_fold,RNA_Covered_bases,RNA_Covered_percent,RNA_Read_GC,Origin
0,216.3218,7252437,0.3829,100,7252437,2025400,2027861,0.4103,88.5011,1698247,0.234162255,0.5388,Caenorhabditis
1,218.0469,2138077,0.3849,100,2138077,591415,592838,0.4144,50.0799,488219,0.22834491,0.5272,Caenorhabditis
2,283.9779,2102995,0.3752,99.9996,2102986,774925,774353,0.4057,74.0044,541067,0.257284016,0.5203,Caenorhabditis
3,207.7853,2149023,0.3774,100,2149023,543124,543192,0.4056,26.7936,324545,0.151019789,0.5386,Caenorhabditis
4,396.5273,1736397,0.3823,100,1736397,641808,642726,0.4144,81.6786,477526,0.27500969,0.5148,Caenorhabditis
5,422.8883,1618720,0.3946,100,1618720,649822,651336,0.4212,102.8209,407255,0.251590763,0.5334,Caenorhabditis
6,274.2876,1589039,0.3767,99.9902,1588884,558333,559210,0.4075,86.1134,348703,0.219442695,0.5464,Caenorhabditis
7,314.8009,1574291,0.3753,100,1574291,563750,564922,0.4144,63.4906,289114,0.183647115,0.54,Caenorhabditis
8,440.9607,1513009,0.391,99.9981,1512981,625200,625814,0.4175,167.7407,431674,0.285308283,0.5142,Caenorhabditis
9,233.4949,1474424,0.3773,100,1474424,408018,408902,0.405,97.225,316430,0.214612622,0.5427,Caenorhabditis
10,283.2574,1470150,0.3805,100,1470150,515210,516011,0.4063,165.1662,533360,0.362792912,0.5243,Caenorhabditis
11,297.6723,1465462,0.3761,99.9999,1465460,512122,511762,0.4032,145.5466,543433,0.370827084,0.523,Caenorhabditis
12,316.6328,1449816,0.3791,100,1449816,538767,539382,0.4064,52.7733,436040,0.300755406,0.4969,Caenorhabditis
13,2697.1608,1468181,0.4047,100,1468181,590782,592113,0.4558,24.4788,200508,0.136568993,0.5438,Caenorhabditis
14,642.0059,1386563,0.3814,99.9986,1386544,469001,484535,0.3968,32.3743,257622,0.185798986,0.5287,Caenorhabditis
15,288.76,1283138,0.3863,100,1283138,444881,444419,0.4171,50.5708,268929,0.209586966,0.5341,Caenorhabditis
16,299.8542,1168643,0.3728,99.9998,1168641,394338,393345,0.3977,52.0377,378241,0.323658294,0.5064,Caenorhabditis
17,287.7307,1144479,0.3788,100,1144479,437388,442587,0.4014,72.7012,442302,0.386465807,0.4989,Caenorhabditis
18,686.5654,1151365,0.4019,100,1151365,492031,449028,0.429,16.951,141995,0.123327529,0.5174,Caenorhabditis
19,222.2206,1105110,0.3829,99.9998,1105108,317898,318026,0.4114,49.0048,180819,0.163620816,0.5187,Caenorhabditis
20,507.8635,1098458,0.3939,100,1098458,459181,455895,0.4208,26.5091,160073,0.145725189,0.5321,Caenorhabditis
21,304.2942,1061530,0.3836,100,1061530,392511,392754,0.4112,64.262,272576,0.25677654,0.5024,Caenorhabditis
22,529.6345,1048654,0.393,100,1048654,388197,389084,0.4258,138.2105,202045,0.192670795,0.5718,Caenorhabditis
23,279.0217,1034820,0.3739,100,1034820,370878,370415,0.4,79.7324,348458,0.336732958,0.4942,Caenorhabditis
24,344.7961,1042535,0.3864,100,1042535,354381,354116,0.4249,14.4244,126647,0.121479854,0.5029,Caenorhabditis
25,483.7024,1036641,0.3891,99.9981,1036621,410618,409335,0.4177,92.2375,300388,0.289770518,0.5282,Caenorhabditis
26,406.2054,1013278,0.3836,99.9966,1013244,430822,429546,0.4109,761.0103,330391,0.326061555,0.5498,Caenorhabditis
27,543.2191,966975,0.3821,100,966975,249923,250291,0.4161,18.5149,88711,0.091740738,0.5157,Caenorhabditis
28,376.895,910853,0.368,99.9991,910845,294857,293779,0.4121,11.5513,64159,0.070438369,0.5321,Caenorhabditis
29,263.2906,865067,0.3755,99.9993,865061,289185,291612,0.4078,64.384,162891,0.18829871,0.5011,Caenorhabditis
30,725.9058,885028,0.397,100,885028,346904,348102,0.4389,54.6217,146427,0.165449003,0.522,Caenorhabditis
31,445.2205,874668,0.394,100,874668,342278,341423,0.4271,79.7718,155037,0.177252397,0.5274,Caenorhabditis
32,696.4188,865367,0.4024,100,865367,327502,327872,0.4341,72.7749,123566,0.142790284,0.5483,Caenorhabditis
33,395.3939,827197,0.392,100,827197,354888,352628,0.4223,60.5951,248759,0.30072522,0.515,Caenorhabditis
34,289.8338,834386,0.3753,99.9988,834376,282379,281079,0.4048,61.8668,228331,0.273651523,0.5483,Caenorhabditis
35,272.8708,824687,0.3753,100,824687,288489,287029,0.3989,103.0212,261973,0.31766355,0.5203,Caenorhabditis
36,324.5566,808620,0.3795,99.9995,808616,263996,264727,0.4134,10.7699,106251,0.131397937,0.488,Caenorhabditis
37,304.2127,789796,0.3829,99.9987,789786,277497,274791,0.4086,171.7483,298136,0.377484819,0.5149,Caenorhabditis
38,492.19,788439,0.3894,99.9934,788387,330106,330063,0.418,33.4362,207508,0.263188401,0.4789,Caenorhabditis
39,275.7918,756658,0.3848,100,756658,287585,287642,0.4096,82.3622,219940,0.290672933,0.5148,Caenorhabditis
40,269.8238,774490,0.3792,99.9875,774393,260063,260567,0.4128,29.5704,140791,0.181785433,0.5119,Caenorhabditis
41,337.4513,764091,0.3813,100,764091,223200,221931,0.4154,37.8318,112590,0.147351559,0.5561,Caenorhabditis
42,858.3783,778485,0.3965,100,778485,275412,275580,0.4387,39.4859,115949,0.148941855,0.5501,Caenorhabditis
43,289.6357,761309,0.3864,100,761309,293992,293836,0.4118,52.62,219051,0.287729424,0.4908,Caenorhabditis
44,848.6271,747987,0.4062,100,747987,262625,263397,0.4389,34.6417,91018,0.121683933,0.5309,Caenorhabditis
45,454.3766,704216,0.3987,99.9956,704185,334904,335625,0.4434,43.6737,177352,0.251843184,0.5123,Caenorhabditis
46,1074.2173,753356,0.3999,99.9985,753345,527846,555096,0.4182,42.5905,143038,0.189867738,0.5253,Caenorhabditis
47,486.4314,709379,0.3956,100,709379,267232,265975,0.4307,105.1246,135870,0.191533722,0.5512,Caenorhabditis
48,813.9162,665380,0.3882,100,665380,225785,225791,0.427,23.1711,79246,0.119098861,0.5172,Caenorhabditis
49,288.5616,699260,0.3769,100,699260,249746,251670,0.4073,45.2595,157181,0.224781912,0.5323,Caenorhabditis
50,259.8867,646268,0.3813,100,646268,222836,223210,0.4079,105.547,295471,0.457195776,0.4846,Caenorhabditis
51,333.0388,641401,0.3862,100,641401,187326,187586,0.4153,12.6079,72522,0.113068112,0.5272,Caenorhabditis
52,489.9944,629005,0.4,100,629005,263048,261174,0.4324,73.6542,176634,0.280814938,0.5241,Caenorhabditis
53,312.4651,656214,0.3699,100,656214,212867,212826,0.4077,29.2118,57801,0.088082546,0.6051,Caenorhabditis
54,550.0614,676698,0.3946,100,676698,289565,289027,0.4206,75.0514,152555,0.2254403,0.5166,Caenorhabditis
55,417.0343,604930,0.389,100,604930,219738,220596,0.4213,49.5302,109002,0.180189443,0.5247,Caenorhabditis
56,319.1055,608753,0.3628,99.9989,608746,177567,177199,0.3994,11.7446,54070,0.088820918,0.5054,Caenorhabditis
57,369.9108,611645,0.3833,100,611645,153036,152541,0.4203,16.8063,50017,0.081774559,0.5643,Caenorhabditis
58,303.1747,586052,0.3691,100,586052,155366,155764,0.4233,46.7693,71927,0.12273143,0.5982,Caenorhabditis
59,858.5833,580621,0.3995,100,580621,216587,215069,0.4375,28.9329,94972,0.163569695,0.5246,Caenorhabditis
60,796.4771,556874,0.3809,100,556874,249177,251249,0.4463,3.3541,25603,0.045976289,0.5266,Caenorhabditis
61,190.0347,558534,0.384,99.997,558517,152716,152486,0.4181,33.1649,121710,0.217909742,0.5236,Caenorhabditis
62,341.3832,541136,0.4067,100,541136,260720,261940,0.4407,226.7879,154030,0.284641938,0.5544,Caenorhabditis
63,408.1366,542564,0.3968,99.9971,542548,248943,249939,0.4321,124.052,164832,0.303801948,0.5333,Caenorhabditis
64,255.962,539714,0.3733,99.9896,539658,188323,187746,0.4029,19.6401,104854,0.194276969,0.4582,Caenorhabditis
65,408.22,545745,0.367,99.9991,545740,238683,235994,0.418,42.7491,66513,0.121875601,0.5514,Caenorhabditis
66,281.9956,528890,0.3838,99.9992,528886,198218,198325,0.4075,74.9274,184017,0.347930572,0.5053,Caenorhabditis
67,553.9468,520811,0.3911,100,520811,209233,209284,0.4273,83.9393,71891,0.138036639,0.5327,Caenorhabditis
68,450.5691,537199,0.3996,99.9968,537182,222354,222151,0.4318,105.0139,128042,0.238351151,0.5339,Caenorhabditis
69,301.5985,530094,0.3849,100,530094,197121,196954,0.4171,30.686,118122,0.222832177,0.5105,Caenorhabditis
70,410.3265,546074,0.3849,99.9985,546066,223244,223218,0.4163,188.1616,95722,0.175291261,0.5642,Caenorhabditis
71,247.5204,506202,0.3597,100,506202,135960,135827,0.3952,17.3475,108309,0.213963991,0.4724,Caenorhabditis
72,301.2182,510127,0.3835,99.999,510122,229969,229611,0.4142,127.4396,165836,0.325087674,0.5254,Caenorhabditis
73,398.9503,507225,0.3964,99.9896,507172,198858,199215,0.4264,47.5168,106792,0.210541673,0.5287,Caenorhabditis
74,381.4127,490778,0.3807,99.9994,490775,143037,143083,0.4194,2.8729,47561,0.096909397,0.4907,Caenorhabditis
75,419.1026,518113,0.3947,100,518113,193338,194061,0.4322,38.7159,97240,0.187681066,0.5332,Caenorhabditis
76,792.3894,490477,0.391,99.9963,490459,146120,146654,0.427,19.9501,43815,0.089331406,0.5131,Caenorhabditis
77,732.7826,513913,0.3954,99.9558,513686,192009,191894,0.4434,29.0384,80456,0.156555682,0.5273,Caenorhabditis
78,420.1048,479016,0.3878,99.9996,479014,188670,188840,0.4172,129.2512,104981,0.219159694,0.5206,Caenorhabditis
79,679.7629,486024,0.3859,100,486024,102425,103597,0.4258,7.727,42514,0.087473047,0.5173,Caenorhabditis
80,263.5145,466840,0.3712,100,466840,159743,159672,0.4003,64.1608,178288,0.381903864,0.4976,Caenorhabditis
81,264.988,463776,0.3883,100,463776,187876,186964,0.4126,58.0267,141935,0.306042141,0.5112,Caenorhabditis
82,210.7107,458899,0.3792,100,458899,135919,135525,0.4202,1.4067,32314,0.070416366,0.4697,Caenorhabditis
83,338.9761,451665,0.3974,100,451665,204901,203959,0.4279,34.9595,155464,0.344202008,0.5214,Caenorhabditis
84,338.3843,439731,0.385,100,439731,148043,148856,0.4145,64.1406,94235,0.214301471,0.5422,Caenorhabditis
85,432.174,431965,0.3972,100,431965,171916,171633,0.4262,22.9971,60807,0.140768349,0.4921,Caenorhabditis
86,180.5736,416919,0.3786,100,416919,95005,95627,0.4059,1.4773,26641,0.063899702,0.492,Caenorhabditis
87,222.5029,410021,0.3782,99.9883,409973,139194,139265,0.4011,149.0779,153876,0.375288095,0.5146,Caenorhabditis
88,864.2606,395638,0.3916,99.9939,395614,131397,131758,0.4242,14.1107,50639,0.127993267,0.5255,Caenorhabditis
89,256.389,443198,0.3831,99.9998,443197,98543,98029,0.4236,1.0629,11827,0.02668559,0.481,Caenorhabditis
90,290.5543,375672,0.3806,100,375672,151054,150748,0.4121,82.3429,107035,0.284916097,0.5181,Caenorhabditis
