ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,RNA_Avg_fold,RNA_Covered_bases,RNA_Covered_percent,RNA_Read_GC,Origin
0,111.1066,1653335,0.3537,99.9183,1651985,555950,555962,0.3546,51.1802,562100,0.339979496,0.4124,Caenorhabditis
1,108.2375,1279031,0.3443,99.9984,1279010,425207,425146,0.3446,31.6753,265776,0.207794807,0.4325,Caenorhabditis
2,103.2664,1270721,0.3493,99.9633,1270255,425167,425572,0.3497,49.8233,423854,0.333553943,0.4109,Caenorhabditis
3,103.9921,1182559,0.3474,99.8346,1180603,393174,393102,0.3476,32.2659,258002,0.218172624,0.4307,Caenorhabditis
4,109.1782,1010129,0.3574,100,1010129,337504,337655,0.3577,30.1581,227555,0.225273208,0.4382,Caenorhabditis
5,106.6465,930536,0.3505,99.9992,930529,311732,311803,0.3505,37.1767,186019,0.199905216,0.4341,Caenorhabditis
6,104.5154,922621,0.3482,99.9111,921801,309495,309501,0.3484,54.4215,237229,0.257125082,0.4266,Caenorhabditis
7,320.5454,900093,0.3588,99.9938,900037,302023,302136,0.3592,49.5229,188656,0.20959612,0.4618,Caenorhabditis
8,122.3059,776960,0.3484,99.9852,776845,262433,262434,0.3498,43.6056,168942,0.217439765,0.4305,Caenorhabditis
9,116.5335,753983,0.3486,100,753983,259774,259882,0.3495,42.0237,193797,0.257030994,0.4273,Caenorhabditis
10,114.8985,717237,0.347,99.8026,715821,258333,258245,0.3535,52.3029,217866,0.303757335,0.4081,Caenorhabditis
11,104.841,705009,0.3569,99.9999,705008,235768,235831,0.3571,35.5515,170613,0.242001166,0.4431,Caenorhabditis
12,221.2238,679812,0.3569,99.9996,679809,233049,232976,0.3597,37.8611,157567,0.231780257,0.4575,Caenorhabditis
13,117.9124,678501,0.3684,100,678501,226369,226348,0.3687,48.1274,162190,0.239041652,0.4729,Caenorhabditis
14,108.0333,678231,0.3557,100,678231,227325,227261,0.3564,40.8097,176649,0.260455509,0.4312,Caenorhabditis
15,109.5225,656088,0.3463,99.7929,654729,221814,221751,0.3489,65.1269,214499,0.326936326,0.4091,Caenorhabditis
16,105.9756,655272,0.3531,99.9138,654707,221999,221961,0.3548,40.6654,225133,0.34357183,0.4187,Caenorhabditis
17,104.6489,627194,0.3482,99.8567,626295,213038,212971,0.3483,54.4165,220337,0.351305976,0.4071,Caenorhabditis
18,117.7885,603180,0.3578,100,603180,205004,205036,0.358,43.3522,230328,0.381856162,0.4233,Caenorhabditis
19,118.1821,586941,0.3606,100,586941,195421,195377,0.3607,47.3197,151061,0.257369991,0.4355,Caenorhabditis
20,255.5208,584988,0.3508,100,584988,197224,197320,0.351,44.6746,105027,0.179537016,0.4589,Caenorhabditis
21,108.8728,582198,0.3599,99.9401,581849,193621,193645,0.3602,51.1195,171211,0.294076929,0.4393,Caenorhabditis
22,111.4765,580858,0.3477,100,580858,197318,197346,0.349,46.5892,155357,0.267461238,0.405,Caenorhabditis
23,103.8142,580109,0.3442,99.9259,579679,194028,194030,0.3445,43.037,195730,0.337402109,0.4034,Caenorhabditis
24,230.9501,573779,0.3587,100,573779,198225,198328,0.3624,44.7056,124942,0.217752828,0.4314,Caenorhabditis
25,103.0653,552422,0.3569,99.7806,551210,184444,184503,0.3573,40.424,172330,0.311953543,0.431,Caenorhabditis
26,173.1785,522210,0.3642,99.9998,522209,181098,181415,0.3639,30.1907,134535,0.257626242,0.4247,Caenorhabditis
27,109.0721,514022,0.3549,100,514022,172579,172592,0.3555,52.4174,190004,0.369641766,0.423,Caenorhabditis
28,115.8395,504665,0.3603,100,504665,169315,169283,0.3592,39.206,160342,0.317719675,0.4253,Caenorhabditis
29,129.978,499547,0.3462,99.9998,499546,170974,171030,0.3465,43.3908,187836,0.376012667,0.3997,Caenorhabditis
30,120.0276,496438,0.3478,100,496438,169406,169508,0.3463,41.3812,131266,0.264415697,0.4248,Caenorhabditis
31,103.3193,495371,0.3538,100,495371,166007,166059,0.3536,53.2247,160768,0.324540597,0.4216,Caenorhabditis
32,105.7407,485905,0.3493,100,485905,165414,165511,0.35,60.2209,163929,0.337368416,0.4239,Caenorhabditis
33,130.6874,475681,0.3345,100,475681,159859,159900,0.3364,86.4714,109855,0.230942585,0.4147,Caenorhabditis
34,103.5201,469042,0.3628,100,469042,156579,156665,0.3634,43.3315,156124,0.332857185,0.4288,Caenorhabditis
35,187.8556,466141,0.3531,99.9734,466017,155169,155154,0.3536,45.4032,107047,0.229645107,0.4614,Caenorhabditis
36,104.8343,464071,0.3397,100,464071,155002,154974,0.3398,58.3883,149494,0.322136052,0.4094,Caenorhabditis
37,116.3786,463806,0.3441,99.9996,463804,156679,156672,0.3447,41.0173,166375,0.358716791,0.4044,Caenorhabditis
38,136.7803,463930,0.3474,100,463930,156020,156057,0.3504,61.9901,136374,0.293953829,0.4235,Caenorhabditis
39,100.9072,453607,0.3585,99.4949,451316,149836,149910,0.3585,30.5498,94769,0.208923143,0.4443,Caenorhabditis
40,113.2158,449540,0.3623,99.9969,449526,149424,149473,0.3622,43.8385,120775,0.268663523,0.4632,Caenorhabditis
41,119.4529,445016,0.354,99.9998,445015,148977,148950,0.3542,41.5522,134956,0.303261006,0.4204,Caenorhabditis
42,50.1928,444006,0.332,99.998,443997,59924,59872,0.3328,16.0112,273371,0.61569213,0.3545,Candida
43,104.4652,440387,0.3454,99.8022,439516,146635,146620,0.3461,34.8117,145561,0.330529739,0.407,Caenorhabditis
44,109.1505,433261,0.3533,99.9995,433259,145163,145243,0.3532,38.8825,133368,0.307823691,0.4083,Caenorhabditis
45,272.1881,432838,0.3751,100,432838,143406,143375,0.3745,34.5991,96096,0.222013779,0.4872,Caenorhabditis
46,173.7598,431327,0.3522,100,431327,144445,144357,0.3529,77.225,103107,0.239046014,0.4564,Caenorhabditis
47,225.7053,422884,0.3562,100,422884,149567,149644,0.3523,47.4492,105188,0.248739607,0.4389,Caenorhabditis
48,104.7307,421453,0.3647,99.9995,421451,141199,141218,0.3654,53.3592,141981,0.33688454,0.445,Caenorhabditis
49,654.7941,420298,0.3632,99.999,420294,143980,144003,0.3637,53.2665,81977,0.195044944,0.4685,Caenorhabditis
50,103.2223,413161,0.3456,99.696,411905,137968,137890,0.347,92.5785,76041,0.184046897,0.4519,Caenorhabditis
51,103.763,410631,0.3506,100,410631,136842,136812,0.3518,33.3054,98020,0.238705797,0.4401,Caenorhabditis
52,120.7078,411553,0.3506,99.9684,411423,143162,143186,0.348,32.7654,116803,0.283810348,0.4204,Caenorhabditis
53,151.2778,410652,0.354,99.9998,410651,139986,139943,0.3549,43.2655,105484,0.256869564,0.4592,Caenorhabditis
54,183.9787,410237,0.3605,100,410237,136820,136646,0.3615,76.1325,68718,0.16750805,0.45,Caenorhabditis
55,308.5734,404256,0.3587,99.8182,403521,138096,138190,0.3585,36.0633,83522,0.206606705,0.4432,Caenorhabditis
56,448.7162,401663,0.3535,99.998,401655,135217,135248,0.3522,72.5255,69266,0.172448047,0.437,Caenorhabditis
57,106.8895,395107,0.3481,99.8803,394634,134664,134781,0.3494,64.509,124644,0.315468974,0.4195,Caenorhabditis
58,127.6401,394612,0.3552,99.5416,392803,130862,130838,0.3557,35.3254,106652,0.270270544,0.4371,Caenorhabditis
59,119.9817,389161,0.3573,99.9992,389158,130570,130539,0.3572,37.3664,101340,0.260406361,0.4265,Caenorhabditis
60,107.9923,384579,0.3431,99.968,384456,128838,128858,0.3434,69.5787,118979,0.309374667,0.4071,Caenorhabditis
61,120.5007,376189,0.341,99.9992,376186,128538,128967,0.3444,61.5881,118234,0.314294145,0.4204,Caenorhabditis
62,131.3016,372974,0.3495,99.6059,371504,126699,126489,0.3497,37.7479,124254,0.333143865,0.418,Caenorhabditis
63,155.4693,368903,0.3554,100,368903,123441,123488,0.3558,47.8069,65935,0.178732621,0.4625,Caenorhabditis
64,110.9059,368760,0.3594,100,368760,123281,123377,0.3617,70.8057,74985,0.203343638,0.4426,Caenorhabditis
65,100.4272,368389,0.3547,99.9992,368386,122847,122846,0.3551,32.605,88461,0.24012932,0.4363,Caenorhabditis
66,279.5118,368315,0.3544,100,368315,121735,121694,0.3544,40.7493,85006,0.230797008,0.4281,Caenorhabditis
67,162.9867,366237,0.3556,99.9424,366026,125033,124995,0.3538,34.3323,112358,0.306790412,0.4019,Caenorhabditis
68,103.3781,364604,0.3588,99.1273,361422,119512,119547,0.3589,42.5726,137422,0.376907549,0.4146,Caenorhabditis
